"RentTotal","SqftLease","Renovation","LeaseLen","Age","DistCity","DistAirp","DriveAirp","Location","Occupancy","FloorsBldg","SqftFloor","Elevators","Restaurant","Wiring","Exercise","DistHosp","FirmType","FloorLease","Renewable","Parking"
30290.7605655913,2907.06,43,6,43,5.34,19.09,44.06,"SUBOLD",0.94,13,38804.58,3,"NO","NO","NO",1.34,"GOVT",12,"YES",2
350071.662128696,15193.72,12,5,12,3.98,12.66,21.28,"SUBNEW",0.95,9,27020.54,4,"YES","NO","YES",1.62,"LEGAL",9,"NO",4
378747.612276234,11382.45,0,6,0,4.14,11.27,15.71,"SUBNEW",0.71,18,23688.32,6,"YES","YES","YES",1.24,"LEGAL",13,"NO",2
437740.518805422,19875.08,10,4,44,1.43,13.06,21.78,"CITY",0.93,29,23537.35,5,"NO","NO","NO",0.87,"LEGAL",14,"YES",2
70246.8708766274,2000.01,19,5,71,1.17,13.34,22.81,"CITY",0.73,11,24266.14,4,"YES","NO","NO",0.7,"DOCTOR",1,"YES",4
831703.443384509,54283.99,18,7,18,4.14,13.34,24.18,"SUBNEW",0.94,6,33255.74,8,"NO","NO","NO",1.21,"BUS.",5,"NO",8
36053.2514692259,2874.25,20,7,47,4.43,18.22,40.5,"SUBOLD",0.95,9,12211.13,2,"NO","NO","NO",0.45,"DOCTOR",2,"NO",2
2051982.97251628,80683.98,31,3,31,0.18,14.41,26.28,"CITY",1,48,39240.09,11,"NO","NO","NO",0.75,"BUS.",30,"NO",17
253267.938690956,21986.19,28,7,46,5.94,20.07,47.85,"SUBOLD",0.94,8,32661.76,3,"YES","NO","NO",2.21,"LEGAL",3,"NO",0
165591.712952344,8676.14,60,10,60,0.18,14.24,25.44,"CITY",0.96,13,22424.55,3,"NO","NO","NO",0.53,"GOVT",9,"NO",5
1306468.02831089,51195.31,5,3,5,2.76,13.54,22.41,"SUBNEW",0.97,14,37797.96,8,"NO","YES","NO",0.88,"BUS.",12,"NO",11
245525.654720595,10648.26,6,4,6,3.26,12.54,18.95,"SUBNEW",0.89,11,27460.78,4,"NO","YES","NO",1.72,"BUS.",11,"NO",3
203516.268238783,8665.93,44,4,44,0.28,14.22,25.13,"CITY",0.97,21,23766.26,8,"NO","NO","NO",0.49,"LEGAL",20,"NO",5
80979.1206787253,3484.23,48,4,48,1.22,15.37,30.69,"CITY",0.94,14,18164.87,4,"NO","NO","NO",0.6,"LEGAL",8,"NO",3
232729.285146405,11073.7,18,3,18,3.09,11.43,13.9,"SUBNEW",0.94,19,30275.58,6,"YES","NO","NO",0.65,"BUS.",5,"NO",0
211602.375211442,8690.5,15,6,48,0.32,14.34,25.49,"CITY",0.93,30,26778.2,7,"NO","NO","NO",0.63,"DOCTOR",8,"NO",0
304231.784170443,12855.58,9,3,9,2.52,13.75,23.03,"SUBNEW",0.81,17,62583.44,4,"YES","NO","YES",0.9,"BUS.",17,"NO",0
379297.580613446,18430.05,38,7,38,0.17,14.36,26.08,"CITY",0.84,22,15544.51,4,"NO","NO","NO",0.7,"DOCTOR",3,"NO",5
310500.38560811,23606.3,38,5,38,0.39,14.2,24.92,"CITY",0.63,31,35922.33,8,"NO","NO","NO",0.5,"GOVT",31,"YES",3
226898.081275798,12991.08,60,9,60,0.8,15.08,29.16,"CITY",0.78,31,22795.32,6,"NO","NO","NO",0.52,"LEGAL",4,"NO",1
54928.036961413,3356.38,6,7,17,1.65,15.92,31.44,"SUBOLD",0.69,17,43599.77,7,"YES","NO","NO",1.01,"DOCTOR",3,"NO",0
64352.7807653199,3116.51,7,3,7,1.59,15.61,30.09,"SUBOLD",0.94,4,13507.14,6,"NO","YES","NO",1.32,"OTHER",2,"NO",2
115076.876235669,4534.2,28,4,62,1.03,13.42,22.77,"CITY",1,12,15469.07,3,"NO","NO","NO",0.51,"LEGAL",10,"YES",3
533589.104932647,52227.7,19,3,19,5.4,19.61,46.02,"SUBOLD",0.65,8,7454.59,4,"YES","NO","YES",1.85,"BUS.",1,"NO",2
217818.650035263,10727.87,42,9,42,0.59,13.88,23.77,"CITY",0.95,18,27862.71,5,"NO","NO","NO",0.17,"OTHER",10,"NO",4
717128.254606072,26702.79,15,4,70,0.58,13.84,23.84,"CITY",0.92,11,20591.33,4,"YES","NO","NO",0.14,"LEGAL",10,"NO",0
99434.3784561089,8476.07,20,8,20,4.63,12.15,21.32,"SUBNEW",0.73,16,24547.48,9,"NO","NO","NO",1.71,"LEGAL",14,"NO",0
171551.926705244,5615.69,0,6,12,2.54,12.05,15.99,"SUBNEW",0.97,20,50345.84,9,"NO","YES","NO",0.62,"LEGAL",17,"NO",2
193629.593326042,5866.17,0,5,16,3.32,13.73,24.01,"SUBNEW",0.93,23,25522.16,8,"NO","YES","NO",0.48,"LEGAL",19,"NO",0
66372.7941712888,2543.68,36,8,59,0.69,14.76,26.9,"CITY",0.97,27,17816.38,4,"YES","NO","NO",1.12,"GOVT",2,"NO",1
1884372.2558405,85014.96,16,5,51,0.13,14.37,26.06,"CITY",0.91,23,41567.41,7,"NO","NO","NO",0.69,"BUS.",9,"NO",17
244249.306147541,9048.44,17,6,17,0.77,15.01,27.95,"CITY",0.83,65,47217.9,11,"YES","YES","NO",0.9,"LEGAL",32,"NO",1
25741.5582824731,1255.53,29,4,29,3.93,11.88,17.8,"SUBNEW",0.82,19,35349.3,6,"NO","NO","NO",1.62,"DOCTOR",1,"NO",3
163642.511876681,9255.81,27,7,27,3.82,11.12,13.13,"SUBNEW",0.95,20,43021.25,6,"NO","NO","NO",1.69,"GOVT",14,"NO",0
109023.110309181,4345.67,2,5,18,3.71,12.07,17.97,"SUBNEW",0.86,10,19559.39,11,"NO","NO","NO",1.86,"LEGAL",7,"NO",0
990339.428587478,40035.82,0,3,0,5.12,10.61,17.91,"SUBNEW",0.51,9,31386.43,4,"NO","NO","NO",0.27,"BUS.",8,"NO",5
358069.439784381,43630.96,21,3,37,2.09,15.76,30.61,"SUBOLD",0.57,9,37875.13,2,"NO","NO","NO",1.9,"BUS.",4,"NO",8
188006.926427324,9230.36,44,4,74,1,13.69,22.62,"CITY",0.95,12,23531.56,7,"NO","NO","NO",0.53,"LEGAL",10,"NO",8
2982061.70789888,112977.16,18,6,65,0.12,14.33,25.68,"CITY",0.85,11,12625.48,5,"YES","NO","NO",0.6,"LEGAL",3,"NO",11
189032.199673894,12535.11,19,4,19,2.39,12.13,16.58,"SUBNEW",0.74,14,14731.35,5,"NO","NO","NO",0.47,"LEGAL",3,"NO",5
93382.1670985294,7646.81,13,3,13,6.32,20.45,49.37,"SUBOLD",1,17,22343.99,4,"YES","NO","NO",2.58,"OTHER",1,"NO",0
323052.088778927,22174.15,34,10,34,1.64,15.52,29.68,"SUBOLD",0.95,17,19159.29,4,"YES","NO","NO",1.49,"GOVT",14,"NO",4
72539.6694253251,10541.73,7,5,7,6.33,19.75,47.01,"SUBOLD",0.72,17,37247.73,5,"NO","NO","NO",2.38,"OTHER",16,"NO",3
1232929.48414059,53194.9,13,3,13,2.23,13.58,22.07,"SUBNEW",0.94,24,55079.15,9,"NO","NO","NO",1.29,"GOVT",12,"YES",6
1066592.48470403,35109.03,7,5,47,0.24,14.19,25.24,"CITY",0.81,25,35460.23,5,"NO","YES","NO",0.48,"BUS.",1,"NO",6
281405.661787024,15200.94,44,10,79,0.89,13.93,23.52,"CITY",0.99,9,7990.84,5,"NO","NO","NO",0.62,"GOVT",2,"NO",4
224578.987230059,17014.27,16,5,16,3.84,17.26,36.81,"SUBOLD",0.93,13,21561.02,5,"NO","NO","NO",0.94,"BUS.",1,"NO",0
33561.6032437318,1527.21,43,8,43,1,15.22,28.7,"CITY",0.84,12,30605.55,3,"NO","NO","NO",0.91,"DOCTOR",1,"NO",1
213856.005965034,15193.57,9,9,26,3.06,16.06,32.08,"SUBOLD",0.63,17,40979.9,5,"YES","NO","YES",1.99,"LEGAL",7,"YES",4
427876.044017494,17186.09,4,10,4,3.69,11.16,12.76,"SUBNEW",0.74,18,55007.15,10,"NO","YES","NO",1.54,"LEGAL",14,"NO",4
87295.9751058259,7487.69,9,7,9,6.2,20.22,48.47,"SUBOLD",0.91,9,23640.26,7,"NO","NO","NO",2.33,"BUS.",6,"NO",4
153164.001837427,6330.08,15,10,40,0.58,15,28.36,"CITY",0.85,15,21339.86,5,"NO","YES","NO",0.57,"DOCTOR",6,"NO",1
1359370.26414475,72493.45,1,4,1,2.09,16.49,34.41,"SUBOLD",0.58,6,12082.24,6,"NO","NO","NO",0.96,"BUS.",1,"NO",11
821933.509342417,36992.12,32,6,62,1.09,13.46,21.86,"CITY",0.99,21,23438.32,4,"NO","NO","NO",0.45,"GOVT",11,"YES",11
50158.1749047648,1833.55,47,7,47,0.2,14.6,26.9,"CITY",0.93,27,8838.5,6,"YES","NO","NO",0.9,"LEGAL",17,"NO",3
1626547.50668014,53543.88,1,5,1,3.61,13.64,24.15,"SUBNEW",0.94,31,64591.19,10,"YES","YES","YES",0.65,"BUS.",19,"NO",6
1683923.80462147,53734.67,3,3,24,4.94,10.38,16.1,"SUBNEW",0.88,14,23534.96,5,"YES","YES","YES",0.68,"LEGAL",12,"NO",11
110568.643030576,9406.14,12,5,12,3.68,17.89,39.14,"SUBOLD",0.61,10,13398.58,4,"YES","NO","NO",0.84,"OTHER",4,"NO",0
27326.7192367454,1074.99,1,4,35,4.06,17.07,36.34,"SUBOLD",0.83,14,46977.49,4,"YES","NO","YES",1.51,"OTHER",2,"YES",2
46945.7666914501,2038.02,19,9,71,0.82,15.18,29.38,"CITY",0.63,10,47389.54,4,"NO","NO","NO",0.36,"OTHER",1,"NO",2
246584.10170641,9394.89,2,9,23,2.9,12.13,16.27,"SUBNEW",0.85,16,56140.05,4,"NO","YES","NO",1.42,"BUS.",4,"NO",0
166363.942283286,11471.61,18,9,18,2.64,12.46,17.54,"SUBNEW",0.75,24,52916.11,9,"NO","NO","NO",1.5,"DOCTOR",3,"NO",0
61869.7724999548,2331.51,15,7,30,5.52,10.6,19.87,"SUBNEW",0.81,14,54888.55,10,"NO","YES","NO",0.32,"OTHER",10,"NO",0
332481.987218696,50149.98,44,9,44,4.96,19.11,43.99,"SUBOLD",0.91,10,33654.73,3,"NO","NO","NO",1.31,"LEGAL",5,"NO",0
53629.8308625405,8139.76,46,5,46,2.26,16.69,35,"SUBOLD",0.88,11,24348.69,3,"NO","NO","NO",1.16,"LEGAL",10,"NO",0
517157.623212718,20347.11,19,10,45,0.75,13.76,23.18,"CITY",1,35,25379.23,6,"NO","NO","NO",0.22,"DOCTOR",2,"YES",4
217404.791373243,11379.18,38,6,38,0.14,14.47,26.47,"CITY",0.88,43,41405.72,9,"NO","NO","NO",0.79,"BUS.",35,"NO",5
94976.4490671968,6740.06,8,5,8,1.65,15.93,31.48,"SUBOLD",0.64,14,31313.99,4,"YES","NO","YES",1.02,"BUS.",4,"NO",2
27258.9473752174,2161.03,30,7,30,3.27,13.94,24.7,"SUBNEW",0.95,14,40528.2,3,"NO","NO","NO",0.27,"DOCTOR",2,"NO",0
69043.8461005986,2642.18,1,3,24,2.59,13.12,20.42,"SUBNEW",0.65,18,48237.9,8,"NO","NO","NO",1.41,"OTHER",1,"NO",1
502918.283099743,17137.11,8,6,20,1.47,13.56,21.85,"CITY",0.92,55,50364.02,10,"NO","NO","NO",1.04,"BUS.",29,"NO",5
834453.627400949,27472.51,5,5,50,0.21,14.36,25.67,"CITY",0.94,20,28775.95,5,"NO","NO","NO",0.63,"BUS.",10,"NO",4
101147.310437828,3452.51,22,10,48,0.12,14.47,26.18,"CITY",0.93,27,10106.93,5,"YES","NO","NO",0.74,"DOCTOR",17,"NO",3
149654.452355087,8168.57,35,7,47,1.03,15.38,29.49,"CITY",0.99,29,20445.65,6,"NO","NO","NO",0.64,"DOCTOR",18,"YES",2
734566.397602288,32613.56,23,10,40,1.44,13.72,25.66,"CITY",0.88,10,27073.92,3,"NO","NO","NO",0.43,"GOVT",2,"NO",5
284824.747145106,19278.94,11,10,11,2.52,13.52,22.09,"SUBNEW",0.85,14,16070.38,7,"NO","NO","NO",1.08,"LEGAL",13,"NO",0
1150906.62445572,69894.77,16,9,16,2.23,13.02,19.72,"SUBNEW",0.93,12,51565.67,3,"NO","NO","NO",1.71,"BUS.",6,"NO",0
51828.2028375789,6523.38,44,7,44,3.07,16.17,32.5,"SUBOLD",0.59,14,43285.48,6,"NO","NO","NO",1.85,"LEGAL",13,"NO",0
63801.5800646251,1732.53,4,4,75,0.85,13.59,22.74,"CITY",0.95,9,43901.48,3,"YES","NO","YES",0.14,"DOCTOR",3,"NO",2
2496220.11082055,113322.59,5,4,5,4.54,10.81,15.58,"SUBNEW",0.79,17,44508.09,6,"NO","NO","NO",0.88,"BUS.",15,"NO",0
125255.725476174,5164.62,22,5,22,1.11,15.34,29.18,"CITY",0.97,56,39918.04,10,"NO","NO","NO",0.88,"DOCTOR",8,"NO",2
227306.355537578,7368,14,3,83,0.95,13.56,23.45,"CITY",0.92,7,30100.61,4,"NO","YES","NO",0.55,"LEGAL",3,"NO",6
1360846.3014476,63252.43,48,10,48,0.53,14.56,26.16,"CITY",0.87,8,11493.16,5,"NO","NO","NO",0.9,"GOVT",1,"NO",11
127285.137215658,5205.91,11,8,11,3.55,11.3,13.09,"SUBNEW",0.84,18,47797.83,5,"NO","NO","NO",1.44,"GOVT",8,"NO",0
1486132.79568928,66606.55,6,3,6,1.83,16.26,33.24,"SUBOLD",0.52,8,34439.07,4,"NO","YES","NO",0.76,"BUS.",6,"NO",0
438088.707673812,16820.74,6,7,41,1.28,13.4,23.62,"CITY",0.74,16,35943.25,5,"NO","NO","NO",0.9,"LEGAL",14,"NO",0
932451.238215575,44968.27,27,4,41,0.68,13.76,23.8,"CITY",0.89,17,17249.95,5,"NO","NO","NO",0.28,"LEGAL",15,"NO",7
56109.8250466464,8530.74,36,3,36,3.27,17.66,38.49,"SUBOLD",0.79,10,37930.41,4,"NO","NO","NO",1.68,"BUS.",8,"NO",0
1115676.69953104,41549.86,0,10,0,3.75,11.9,17.25,"SUBNEW",0.38,18,32877.74,3,"YES","YES","NO",1.74,"LEGAL",8,"NO",10
393591.489143227,12738,0,4,0,2.53,12.18,16.3,"SUBNEW",1,25,63202.84,7,"YES","YES","YES",0.89,"DOCTOR",14,"NO",6
19502.7806469747,1280.83,23,10,23,4.21,12.42,20.97,"SUBNEW",0.7,14,17232.85,4,"NO","NO","NO",1.91,"DOCTOR",1,"NO",0
126762.948796801,7255.67,18,5,18,2.09,14.15,24.33,"SUBNEW",0.93,12,26914.98,7,"YES","NO","NO",1.18,"BUS.",10,"NO",0
1102823.496002,52147.28,11,6,42,1.36,15.59,30.14,"CITY",0.96,22,26272.19,5,"NO","NO","NO",0.94,"GOVT",8,"YES",0
72514.6373025192,3179.92,7,10,7,5.11,11.33,20.29,"SUBNEW",0.7,13,35376.21,8,"YES","NO","NO",0.92,"GOVT",1,"NO",1
595084.220426732,18681.55,10,9,46,0.11,14.31,25.67,"CITY",0.93,22,28956.56,7,"YES","YES","YES",0.59,"GOVT",7,"NO",2
427837.051285633,27284.26,76,9,76,0.16,14.45,26.05,"CITY",0.94,3,25939.9,2,"NO","NO","NO",0.72,"LEGAL",2,"NO",4
365051.671828105,20705.17,36,8,61,0.95,13.55,23.41,"CITY",0.91,12,36242.49,3,"NO","NO","NO",0.53,"GOVT",3,"YES",2
126140.791496883,3628.51,2,4,2,4.07,11.88,18.31,"SUBNEW",0.74,18,36584.61,5,"YES","YES","YES",1.55,"GOVT",2,"NO",5
136127.94137423,5370.87,36,4,64,0.6,13.83,23.93,"CITY",0.92,12,21305.13,4,"NO","NO","NO",0.22,"DOCTOR",8,"NO",3
104813.652563365,4602.16,17,5,29,4.85,13.09,25.13,"SUBNEW",0.83,15,44645.99,7,"YES","NO","NO",1.9,"LEGAL",11,"NO",4
145563.408169365,6322.65,38,8,38,0.48,14.06,25.13,"CITY",0.99,38,22041.21,5,"NO","NO","NO",0.55,"BUS.",37,"NO",2
705138.193122805,40042.21,10,7,10,2.05,16.1,32,"SUBOLD",0.87,17,49411.41,5,"NO","NO","NO",1.55,"LEGAL",11,"NO",9
58091.4260056369,1580.76,15,9,52,1.03,13.54,22.15,"CITY",0.97,19,35862.71,4,"YES","NO","NO",0.43,"DOCTOR",2,"YES",2
